Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,152000.000000,155000.000000,150000.000000,151500.000000,149617.140625,405486
2017-06-02,152500.000000,160000.000000,152500.000000,158500.000000,156530.140625,1005171
2017-06-05,159000.000000,161000.000000,158000.000000,161000.000000,158999.078125,578458
2017-06-07,160000.000000,161000.000000,155000.000000,160500.000000,158505.281250,639485
2017-06-08,161000.000000,161000.000000,152500.000000,153500.000000,151592.281250,1255870
2017-06-09,153000.000000,153000.000000,147000.000000,149000.000000,147148.203125,822530
2017-06-12,143000.000000,146000.000000,141000.000000,141500.000000,139741.421875,1361725
2017-06-13,142000.000000,145500.000000,141500.000000,145500.000000,143691.703125,518659
2017-06-14,146000.000000,146500.000000,143000.000000,143000.000000,141222.781250,284894
2017-06-15,144000.000000,149000.000000,143500.000000,147500.000000,145666.859375,515357
2017-06-16,149500.000000,154000.000000,149000.000000,152000.000000,150110.921875,665089
2017-06-19,151500.000000,152000.000000,146500.000000,150500.000000,148629.562500,420046
2017-06-20,149500.000000,153500.000000,147000.000000,153500.000000,151592.281250,439121
2017-06-21,154000.000000,155000.000000,150000.000000,153000.000000,151098.500000,320623
2017-06-22,152000.000000,154500.000000,151000.000000,151500.000000,149617.140625,274429
2017-06-23,153000.000000,155000.000000,152500.000000,153500.000000,151592.281250,262224
2017-06-26,154000.000000,155500.000000,151500.000000,152500.000000,150604.718750,256090
2017-06-27,152000.000000,153500.000000,148000.000000,150000.000000,148135.781250,246479
2017-06-28,150500.000000,152500.000000,149000.000000,149000.000000,147148.203125,177019
2017-06-29,149500.000000,155000.000000,149500.000000,155000.000000,153073.640625,305111
2017-06-30,154000.000000,156500.000000,153500.000000,155000.000000,153073.640625,207954
2017-07-03,155000.000000,156000.000000,152000.000000,152500.000000,150604.718750,177684
2017-07-04,153000.000000,154000.000000,151500.000000,152500.000000,150604.718750,125481
2017-07-05,152500.000000,152500.000000,149000.000000,149500.000000,147642.000000,173393
2017-07-06,149500.000000,151000.000000,147500.000000,148000.000000,146160.640625,165756
2017-07-07,149500.000000,156000.000000,149000.000000,155000.000000,153073.640625,452333
2017-07-10,154500.000000,154500.000000,150500.000000,151000.000000,149123.343750,151964
2017-07-11,151000.000000,152000.000000,148500.000000,148500.000000,146654.437500,190487
2017-07-12,149000.000000,150500.000000,144500.000000,145000.000000,143197.921875,340497
2017-07-13,146500.000000,147000.000000,144500.000000,145000.000000,143197.921875,209308
2017-07-14,146000.000000,147000.000000,144500.000000,145500.000000,143691.703125,148846
2017-07-17,145500.000000,146500.000000,144500.000000,145500.000000,143691.703125,102387
2017-07-18,146000.000000,146500.000000,144500.000000,145000.000000,143197.921875,115522
2017-07-19,145000.000000,145000.000000,142500.000000,145000.000000,143197.921875,158087
2017-07-20,146000.000000,149000.000000,145000.000000,148500.000000,146654.437500,190152
2017-07-21,149000.000000,149500.000000,146500.000000,148000.000000,146160.640625,120518
2017-07-24,149500.000000,149500.000000,148000.000000,149000.000000,147148.203125,86607
2017-07-25,149500.000000,149500.000000,146000.000000,146500.000000,144679.265625,133767
2017-07-26,147500.000000,147500.000000,144500.000000,146000.000000,144185.500000,121396
2017-07-27,146500.000000,146500.000000,145000.000000,146000.000000,144185.500000,67004
2017-07-28,146000.000000,146500.000000,144500.000000,144500.000000,142704.140625,115409
2017-07-31,144000.000000,145500.000000,142500.000000,143000.000000,141222.781250,126376
2017-08-01,143500.000000,144000.000000,141500.000000,141500.000000,139741.421875,165735
2017-08-02,142500.000000,143000.000000,141500.000000,141500.000000,139741.421875,104535
2017-08-03,141500.000000,141500.000000,135500.000000,136500.000000,134803.546875,314969
