Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,44860.000000,44900.000000,44400.000000,44680.000000,38703.472656,9753500
2017-06-02,45060.000000,45960.000000,45000.000000,45960.000000,39812.257813,12488750
2017-06-05,46040.000000,46360.000000,45720.000000,45940.000000,39794.933594,7599400
2017-06-07,46500.000000,46500.000000,45240.000000,45300.000000,39240.535156,13729400
2017-06-08,45000.000000,45580.000000,45000.000000,45160.000000,39119.269531,13978750
2017-06-09,45680.000000,46440.000000,45600.000000,46100.000000,39933.527344,11732850
2017-06-12,45420.000000,45600.000000,45140.000000,45380.000000,39309.839844,10954300
2017-06-13,45140.000000,45620.000000,45140.000000,45400.000000,39327.171875,8624900
2017-06-14,45800.000000,46060.000000,45240.000000,45360.000000,39292.523438,10166700
2017-06-15,45680.000000,45920.000000,45180.000000,45680.000000,39569.707031,9657000
2017-06-16,45500.000000,45940.000000,45460.000000,45580.000000,39483.089844,17403450
2017-06-19,45580.000000,46560.000000,45560.000000,46560.000000,40332.000000,11303900
2017-06-20,47240.000000,48140.000000,47220.000000,48140.000000,41700.652344,15045000
2017-06-21,47740.000000,48120.000000,47480.000000,47480.000000,41128.937500,9973650
2017-06-22,47960.000000,48080.000000,47720.000000,47960.000000,41544.734375,11455800
2017-06-23,47600.000000,47780.000000,47420.000000,47620.000000,41250.207031,9515100
2017-06-26,47520.000000,48360.000000,47520.000000,48280.000000,41821.929688,8552800
2017-06-27,48220.000000,48400.000000,47900.000000,48300.000000,41839.253906,9616750
2017-06-28,47600.000000,48000.000000,47560.000000,47700.000000,41319.500000,9572500
2017-06-29,48040.000000,48320.000000,47940.000000,47940.000000,41649.648438,8306550
2017-06-30,47500.000000,47620.000000,47100.000000,47540.000000,41302.132813,11877550
2017-07-03,47500.000000,47780.000000,47120.000000,47220.000000,41024.117188,6805550
2017-07-04,47160.000000,47400.000000,46900.000000,47000.000000,40832.988281,7961000
2017-07-05,46820.000000,47680.000000,46780.000000,47580.000000,41336.886719,10640250
2017-07-06,48000.000000,48100.000000,47720.000000,48060.000000,41753.902344,10923050
2017-07-07,47740.000000,48120.000000,47620.000000,47860.000000,41580.148438,8131900
2017-07-10,48500.000000,48900.000000,48320.000000,48660.000000,42275.179688,10792750
2017-07-11,48640.000000,49000.000000,48280.000000,49000.000000,42570.562500,9717800
2017-07-12,49000.000000,50000.000000,48840.000000,49880.000000,43335.089844,9486150
2017-07-13,50080.000000,50940.000000,50040.000000,50560.000000,43925.875000,16034150
2017-07-14,51000.000000,51080.000000,50420.000000,50480.000000,43856.363281,8239000
2017-07-17,50900.000000,51020.000000,50520.000000,50640.000000,43995.378906,8976100
2017-07-18,50420.000000,50880.000000,50360.000000,50840.000000,44169.136719,7084450
2017-07-19,50620.000000,50820.000000,50000.000000,50740.000000,44082.246094,11157500
2017-07-20,50760.000000,51320.000000,50560.000000,51200.000000,44481.898438,8367600
2017-07-21,50860.000000,51160.000000,50520.000000,51080.000000,44377.636719,8449050
2017-07-24,50700.000000,51000.000000,50620.000000,50860.000000,44186.507813,7099750
2017-07-25,50500.000000,50760.000000,49940.000000,50000.000000,43439.355469,10810600
2017-07-26,49600.000000,50020.000000,49300.000000,49840.000000,43300.343750,11224800
2017-07-27,50000.000000,50640.000000,49560.000000,49800.000000,43265.597656,11449500
2017-07-28,49800.000000,49800.000000,47380.000000,47760.000000,41493.265625,26168300
2017-07-31,47420.000000,48240.000000,46920.000000,48200.000000,41875.535156,12701400
2017-08-01,48000.000000,48840.000000,47540.000000,48600.000000,42223.050781,11369500
2017-08-02,49200.000000,49340.000000,48600.000000,49000.000000,42570.562500,7777450
2017-08-03,49000.000000,49000.000000,47120.000000,47780.000000,41510.640625,15540800
2017-08-04,48160.000000,48180.000000,47500.000000,47700.000000,41441.136719,8359200
2017-08-07,47500.000000,48080.000000,47440.000000,47580.000000,41336.886719,7218250
2017-08-08,47980.000000,48260.000000,47480.000000,47720.000000,41458.515625,7979600
2017-08-09,47400.000000,47400.000000,46240.000000,46280.000000,40207.464844,14555400
2017-08-10,46200.000000,46320.000000,45460.000000,45900.000000,39877.320313,22986150
2017-08-11,45120.000000,45300.000000,44220.000000,44620.000000,38765.277344,25407300
2017-08-14,45120.000000,45400.000000,44720.000000,45000.000000,39095.417969,19185600
2017-08-16,46220.000000,46380.000000,46000.000000,46200.000000,40137.960938,21913650
2017-08-17,46960.000000,47300.000000,46740.000000,47040.000000,40867.734375,12415850
2017-08-18,46760.000000,47240.000000,46240.000000,46900.000000,40746.097656,10477950
2017-08-21,47240.000000,47240.000000,46580.000000,46840.000000,40693.988281,5103450
2017-08-22,46820.000000,47160.000000,46700.000000,47000.000000,40832.988281,7381750
2017-08-23,47780.000000,47780.000000,47180.000000,47480.000000,41250.003906,9384700
2017-08-24,47520.000000,47660.000000,47340.000000,47520.000000,41284.750000,8657450
2017-08-25,47880.000000,47880.000000,46720.000000,47020.000000,40850.359375,11243550
2017-08-28,47020.000000,47240.000000,45960.000000,46100.000000,40051.082031,9962100
2017-08-29,45640.000000,46080.000000,45160.000000,46080.000000,40033.707031,12623650
2017-08-30,46380.000000,46400.000000,45960.000000,46200.000000,40137.960938,7513000
2017-08-31,46220.000000,46640.000000,46000.000000,46320.000000,40242.218750,11011700
2017-09-01,46460.000000,46640.000000,46300.000000,46480.000000,40381.210938,10641700
2017-09-04,45780.000000,46360.000000,45500.000000,46040.000000,39998.957031,7943500
2017-09-05,46240.000000,46900.000000,45960.000000,46760.000000,40624.480469,11716100
2017-09-06,46760.000000,47180.000000,46700.000000,47000.000000,40832.988281,10811050
2017-09-07,47000.000000,48220.000000,47000.000000,48120.000000,41806.031250,9676500
2017-09-08,48700.000000,49180.000000,48580.000000,49080.000000,42640.066406,10893000
2017-09-11,49700.000000,50180.000000,49500.000000,49800.000000,43265.597656,10374750
2017-09-12,50200.000000,50220.000000,49140.000000,49600.000000,43091.832031,12029750
2017-09-13,49820.000000,50400.000000,49440.000000,49620.000000,43109.210938,9357000
2017-09-14,50060.000000,50320.000000,49760.000000,50300.000000,43699.984375,14204750
2017-09-15,50300.000000,50560.000000,49860.000000,50400.000000,43786.867188,10757300
2017-09-18,50540.000000,52480.000000,50520.000000,52480.000000,45593.945313,11524950
2017-09-19,52500.000000,52640.000000,51780.000000,52120.000000,45281.171875,9850400
2017-09-20,52120.000000,52500.000000,51840.000000,52220.000000,45368.058594,9292750
2017-09-21,52220.000000,52960.000000,52220.000000,52800.000000,45871.957031,8839800
2017-09-25,53000.000000,53680.000000,53000.000000,53620.000000,46584.363281,9303100
2017-09-26,53620.000000,53620.000000,53620.000000,53620.000000,46584.363281,0
2017-09-27,52000.000000,52200.000000,51500.000000,51680.000000,44898.906250,10797000
2017-09-28,52260.000000,52460.000000,51260.000000,51260.000000,44654.992188,12025450
2017-09-29,51180.000000,51620.000000,50840.000000,51280.000000,44672.410156,12909400
2017-10-10,53360.000000,53640.000000,52800.000000,52800.000000,45996.554688,20519800
2017-10-11,53600.000000,54760.000000,53340.000000,54640.000000,47599.468750,13652150
2017-10-12,54840.000000,55160.000000,54100.000000,54800.000000,47738.847656,13890700
2017-10-13,54540.000000,54840.000000,53780.000000,54000.000000,47041.929688,12601650
2017-10-16,53980.000000,54860.000000,53760.000000,53920.000000,46972.234375,9769950
2017-10-17,54020.000000,55380.000000,54000.000000,54800.000000,47738.847656,10607800
2017-10-18,54820.000000,55240.000000,54040.000000,54760.000000,47704.000000,10110750
2017-10-19,54700.000000,54700.000000,52980.000000,52980.000000,46153.355469,12108700
2017-10-20,52800.000000,54100.000000,52800.000000,53840.000000,46902.546875,8027050
